path,url,depth,direct_files,direct_bytes,direct_bytes_human,recursive_files,recursive_bytes,recursive_bytes_human,recursive_dirs,subdir_count,external_refs
MAME/Software List CHDs (merged)/psx/ss072bvl,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss072bvl/,4,1,53162803,50.70 MiB,1,53162803,50.70 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss073inv,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss073inv/,4,1,32925286,31.40 MiB,1,32925286,31.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss076dgb,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss076dgb/,4,1,91540684,87.30 MiB,1,91540684,87.30 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss083wkb,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss083wkb/,4,1,156237824,149.00 MiB,1,156237824,149.00 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss085sng,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss085sng/,4,1,2306867,2.20 MiB,1,2306867,2.20 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss088gmj,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss088gmj/,4,1,109576192,104.50 MiB,1,109576192,104.50 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss089pws,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss089pws/,4,1,157705830,150.40 MiB,1,157705830,150.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss090sen,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss090sen/,4,1,300836454,286.90 MiB,1,300836454,286.90 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss093pb4,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss093pb4/,4,1,240123904,229.00 MiB,1,240123904,229.00 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss097sqh,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss097sqh/,4,1,202060595,192.70 MiB,1,202060595,192.70 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss099knd,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss099knd/,4,1,5033164,4.80 MiB,1,5033164,4.80 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss101snt,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss101snt/,4,1,7654604,7.30 MiB,1,7654604,7.30 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss102dgn,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss102dgn/,4,1,449419673,428.60 MiB,1,449419673,428.60 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss103ddg,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss103ddg/,4,1,334390886,318.90 MiB,1,334390886,318.90 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ss104pnk,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ss104pnk/,4,1,279340646,266.40 MiB,1,279340646,266.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ssanvein,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ssanvein/,4,1,83886080,80.00 MiB,1,83886080,80.00 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ssbk2,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ssbk2/,4,1,99929292,95.30 MiB,1,99929292,95.30 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ssdancec,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ssdancec/,4,1,85773516,81.80 MiB,1,85773516,81.80 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sshotsoc,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sshotsoc/,4,1,251133952,239.50 MiB,1,251133952,239.50 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/ssmhdemo,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/ssmhdemo/,4,1,75916902,72.40 MiB,1,75916902,72.40 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/sstrike,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/sstrike/,4,1,512648806,488.90 MiB,1,512648806,488.90 MiB,1,0,0
MAME/Software List CHDs (merged)/psx/stahlfed,https://myrient.erista.me/files/MAME/Software%20List%20CHDs%20%28merged%29/psx/stahlfed/,4,1,423834419,404.20 MiB,1,423834419,404.20 MiB,1,0,0
